,type,price,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7059,Duplex,2565,0,83,4.0,1,1,1,1,0,1,1,1,1,1,0,0,0,Centro,Palacio,28005.0,October,4,40.4114309,-3.7091707
7060,Flat,1300,1,100,0.0,4,2,1,1,0,1,1,0,0,0,0,0,0,Centro,Malasaña-Universidad,28004.0,,Calle de Manuela Malasaña,40.4286709,-3.7037553
7061,Flat,1730,0,45,5.0,2,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,November,Calle de Argumosa,40.40772315,-3.6966211714449497
7062,Penthouse,1300,1,69,3.0,2,1,1,1,1,1,1,1,1,0,0,1,0,Centro,Palacio,28005.0,September,Calle Calatrava,40.410339,-3.7136056
7063,Flat,2430,0,93,1.0,2,2,1,1,0,1,1,1,1,0,1,0,0,Centro,Palacio,28005.0,October,4,40.4114309,-3.7091707
7064,Flat,1935,0,57,1.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28005.0,June,4,40.4114309,-3.7091707
7065,Penthouse,2835,0,71,5.0,1,1,1,1,0,1,1,1,1,1,0,0,0,Centro,Palacio,28005.0,May,4,40.4114309,-3.7091707
7066,Studio,775,0,35,1.0,0,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28005.0,September,,,
7067,Penthouse,1450,0,65,5.0,1,1,1,1,0,1,1,1,1,0,0,1,0,Centro,Sol,28013.0,October,Brescia,40.4187342,-3.6997175
7068,Flat,1200,1,35,6.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,12,40.4128601,-3.7039456
7069,Flat,3300,0,130,4.0,3,2,1,1,0,0,0,0,1,0,0,0,0,Centro,Huertas-Cortes,,October,Calle de las Huertas,40.4128788,-3.6945687
7070,Flat,1900,0,45,2.0,1,1,1,1,0,0,0,0,1,0,0,0,0,Centro,Malasaña-Universidad,28015.0,November,Calle de San Hermenegildo,40.428333,-3.7079615
7071,Flat,1200,0,45,3.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,August,Calle Ministriles,40.4113862,-3.7024436029028633
7072,Flat,1450,0,60,4.0,2,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Sol,28005.0,November,Calle de Cuchilleros,40.4139787,-3.708157
7073,Flat,1850,0,75,4.0,2,1,1,1,0,1,1,1,1,0,1,1,0,Centro,Sol,28005.0,November,Calle de Cuchilleros,40.4139787,-3.708157
7074,Duplex,1400,1,57,0.0,0,1,1,1,0,1,1,1,0,0,0,0,0,Centro,Malasaña-Universidad,28004.0,September,,,
7075,Duplex,1400,1,57,0.0,1,1,1,1,0,1,1,1,0,0,0,0,0,Centro,Malasaña-Universidad,28004.0,October,Calle de la Puebla,40.4220808,-3.7026213
7076,Flat,1400,0,63,3.0,2,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Huertas-Cortes,28014.0,November,,,
7077,Penthouse,950,1,62,4.0,2,1,1,1,0,0,0,0,0,0,0,0,0,Centro,Malasaña-Universidad,28015.0,,,,
7078,Penthouse,2200,0,40,3.0,0,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28005.0,November,Calle Calatrava,40.410339,-3.7136056
7079,Flat,1700,0,60,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,Centro,Sol,28013.0,May,,,
7080,Flat,1817,0,40,5.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,November,Calle de Santa Isabel,40.412352,-3.6995612
7081,Studio,850,0,30,2.0,0,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Lavapiés-Embajadores,28005.0,November,Calle del Carnero,40.4082864,-3.708467
7082,Flat,2250,0,70,1.0,1,1,1,1,0,1,1,1,1,1,0,0,1,Centro,Huertas-Cortes,,May,,,
7083,Flat,2250,0,70,1.0,1,1,1,1,0,1,1,1,1,1,0,0,1,Centro,Huertas-Cortes,,May,,,
7084,Studio,650,0,20,1.0,0,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Sol,,August,Calle de Carretas,40.41563055,-3.703230222540091
7085,Flat,1420,0,40,1.0,1,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Sol,,October,Calle de la Cruz,40.4156435,-3.7016665
7086,Flat,1770,0,50,5.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Malasaña-Universidad,,October,Calle del Divino Pastor,40.4276412,-3.7039488
7087,Flat,1980,0,110,3.0,2,2,1,1,0,1,1,1,1,0,1,0,0,Centro,Chueca-Justicia,28004.0,November,Pluscuamperfecto,40.4248709,-3.6950962
7088,Flat,1900,0,140,2.0,2,2,1,1,0,1,1,1,1,0,1,0,0,Centro,Palacio,28013.0,November,Calle de la Unión,40.4172676,-3.7104333
7089,Flat,3000,0,168,3.0,4,2,1,1,0,1,1,1,1,0,1,0,0,Centro,Huertas-Cortes,,August,,,
7090,Flat,900,1,55,1.0,1,1,1,1,0,1,1,0,0,0,0,1,0,Centro,Lavapiés-Embajadores,28012.0,October,26,40.4101684,-3.6958151
7091,Flat,3000,0,125,4.0,3,2,1,1,0,1,1,1,1,0,1,0,0,Centro,Huertas-Cortes,,September,Calle de las Huertas,40.4128788,-3.6945687
7092,Flat,2250,0,155,0.0,4,3,1,1,0,1,1,0,0,1,0,0,0,Centro,Palacio,28013.0,October,Calle de la Encarnación,40.4205883,-3.711867
7093,Flat,2274,0,30,5.0,1,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Sol,28012.0,October,Calle de las Postas,40.4159998,-3.7056934
7094,Flat,1200,1,49,2.0,2,1,1,1,0,1,1,0,1,0,1,0,0,Centro,Chueca-Justicia,28004.0,,Calle de Santa Brígida,40.4244217,-3.699391
7095,Flat,1450,0,30,0.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,November,Calle de Tribulete,40.4074898,-3.7031984
7096,Penthouse,3100,0,70,3.0,1,1,1,1,0,1,1,1,1,1,1,0,0,Centro,Chueca-Justicia,28004.0,November,Calle de Hernán Cortés,40.423597,-3.7006005
7097,Flat,2160,0,81,3.0,2,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Sol,28013.0,November,,,
7098,Flat,800,0,42,1.0,1,1,1,1,0,0,0,1,1,0,0,0,0,Centro,Palacio,28005.0,September,,,
7099,Flat,750,0,46,3.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28005.0,September,Obrador San Francisco,40.41091,-3.713285
7100,Flat,1000,0,74,2.0,1,1,1,1,0,1,1,1,1,0,1,0,0,Centro,Sol,28012.0,October,Hostal Bahía,40.4149119,-3.703063
7101,Flat,3500,0,175,4.0,1,2,1,1,0,1,1,1,1,0,1,0,0,Centro,Sol,28013.0,September,Madrid Grill,40.4176632,-3.7070637
7102,Flat,1200,1,50,3.0,1,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Malasaña-Universidad,28004.0,October,Barbers Crew,40.425125,-3.7047101
