,floor_built,subdistrict,bathrooms,floor,district,bedrooms,air_conditioning,fitted_wardrobes,garage_included,private_owner,balcony
7813,55,1452.1381893977805,1,0,1233.9589170661993,1,1,1,1,1,0
6284,92,2458.5696217023665,2,3,1629.642194242578,2,0,1,1,0,0
2246,55,1603.6327285909183,1,2,2161.0284695868604,1,1,1,0,0,0
3824,54,1860.2384333859775,1,2,1773.2995514961183,2,1,0,0,0,0
4763,115,1042.5365707096314,2,6,943.1819623208775,2,1,1,1,0,0
145,85,2041.757763015157,2,1,1924.735143390946,2,1,0,0,0,0
6914,85,2210.5592126265187,1,4,1848.1300723995475,1,1,1,0,0,0
4157,60,1042.5182853548156,1,5,1233.6969424440695,3,0,0,0,0,0
5704,115,2633.666621779537,2,2,2432.499556198407,3,0,1,0,0,0
3606,130,1860.2384333859775,1,26,1773.2995514961183,2,1,1,0,0,0
2690,70,1734.2144629054412,1,4,1557.649671927716,2,1,1,0,0,0
68,210,2247.0750811056214,4,9,1924.735143390946,5,1,1,0,0,1
5109,90,1435.4708320168122,2,2,2432.499556198407,3,1,1,1,0,0
6819,69,1971.3293388921502,1,2,1848.1300723995475,2,1,0,0,0,0
5774,175,2813.642519715502,2,3,2432.499556198407,3,1,1,0,0,1
3932,58,1181.5093101631392,1,2,927.243038503216,2,0,1,0,0,0
2593,128,1363.5830710241676,2,4,1301.7464633309805,4,1,1,0,1,0
711,44,1067.440589444302,1,0,1640.7201765841617,1,0,1,0,0,0
5924,70,2223.5609729977564,1,8,2432.499556198407,1,1,1,0,0,0
774,80,1477.2405075770378,1,10,1640.7201765841617,3,0,0,0,0,0
1269,73,2604.162396896911,2,2,1919.137486048757,2,1,1,0,0,0
2282,107,961.4483322322429,2,1,948.176640496566,3,0,1,1,0,0
7575,46,2210.5592126265187,1,4,1848.1300723995475,1,1,0,0,0,0
5343,136,2821.352634017893,3,1,2432.499556198407,2,1,1,0,0,0
6527,130,1643.224517225123,2,3,1848.1300723995475,1,1,1,0,1,0
596,120,1377.8023914145683,3,13,1924.735143390946,3,1,1,1,0,0
1974,115,1603.6327285909183,2,2,2161.0284695868604,3,1,1,0,0,1
3851,65,1376.6394127776584,1,3,1773.2995514961183,1,1,1,1,1,0
2728,400,1244.946101173764,2,0,1557.649671927716,0,0,0,0,0,0
1812,240,2694.678683136039,3,4,2161.0284695868604,3,1,1,1,0,0
2985,108,1244.946101173764,2,16,1557.649671927716,2,1,1,1,0,0
1460,111,2014.3944721711568,2,7,1919.137486048757,3,1,1,0,1,0
5864,101,2633.666621779537,2,2,2432.499556198407,3,1,1,0,0,1
5699,130,2813.642519715502,2,6,2432.499556198407,3,1,1,0,0,0
4242,35,1491.6036420483354,1,0,1233.6969424440695,0,0,1,0,1,0
5722,35,1618.0971522731115,1,1,2432.499556198407,0,1,1,0,0,0
515,140,1377.8023914145683,2,10,1924.735143390946,4,1,0,0,0,0
519,75,2041.757763015157,2,1,1924.735143390946,2,1,1,0,0,0
723,95,1785.2131654554673,2,6,1640.7201765841617,3,0,1,1,0,1
5919,30,1435.4708320168122,1,1,2432.499556198407,1,0,0,0,0,0
633,209,2247.0750811056214,2,2,1924.735143390946,3,0,1,0,0,0
2012,61,1955.442642756042,1,1,2161.0284695868604,2,0,0,0,0,0
6074,71,817.0738409103712,1,2,850.803111720161,3,0,0,0,0,0
6567,40,1643.224517225123,1,5,1848.1300723995475,0,1,1,0,0,0
6426,75,1397.141159781011,1,6,1629.642194242578,2,1,1,1,0,0
6980,50,1971.3293388921502,1,2,1848.1300723995475,1,1,1,0,1,1
3196,40,1244.946101173764,1,0,1557.649671927716,1,0,1,0,0,0
3706,98,1860.2384333859775,2,3,1773.2995514961183,2,1,1,0,0,0
6943,74,2210.5592126265187,2,3,1848.1300723995475,2,1,1,0,0,0
2487,136,1303.80848653284,2,4,1301.7464633309805,4,1,1,1,1,1
1245,68,1269.801120630257,1,6,1919.137486048757,2,1,0,0,0,0
287,68,2247.0750811056214,1,9,1924.735143390946,1,1,1,0,0,0
4420,75,1060.377218184891,2,1,1005.9320210441978,3,0,0,0,1,0
6070,115,917.7587929318537,2,8,850.803111720161,2,1,1,1,0,0
1428,110,1407.1886090924454,2,6,1919.137486048757,2,1,0,0,0,0
3413,55,1015.3455235698771,1,4,1065.5090123520292,1,1,1,0,0,0
1604,54,1955.442642756042,1,4,2161.0284695868604,1,1,1,0,0,0
5024,65,2633.666621779537,1,1,2432.499556198407,2,0,0,0,0,0
6715,73,1643.224517225123,1,4,1848.1300723995475,1,0,1,0,0,0
7705,36,1643.224517225123,1,5,1848.1300723995475,0,0,0,0,0,0
3756,102,1789.5492272735808,2,2,1773.2995514961183,3,0,0,0,0,0
5589,143,2821.352634017893,4,6,2432.499556198407,4,1,1,0,0,0
7341,76,1643.224517225123,1,3,1848.1300723995475,2,1,1,0,0,0
1403,150,2604.162396896911,3,5,1919.137486048757,3,1,1,1,0,0
988,130,1477.2405075770378,2,8,1640.7201765841617,4,1,1,0,0,0
6139,302,2427.254165072983,5,4,1629.642194242578,6,1,1,1,0,1
2363,135,1363.5830710241676,2,1,1301.7464633309805,3,1,1,1,0,0
6143,120,1389.833228409667,2,1,1629.642194242578,3,1,1,1,0,0
4071,90,1098.8428903756871,1,1,1233.6969424440695,3,0,1,0,0,0
5573,50,1618.0971522731115,1,0,2432.499556198407,1,0,0,0,0,0
2467,65,1331.2705710241676,1,1,1301.7464633309805,1,1,1,1,1,0
75,90,1397.5029862787426,2,2,1924.735143390946,2,1,1,0,0,0
5716,60,1618.0971522731115,1,3,2432.499556198407,2,1,0,1,0,0
5549,180,2813.642519715502,3,4,2432.499556198407,3,1,1,0,0,1
4144,85,958.0746586280278,1,0,1233.6969424440695,1,1,0,0,0,0
1683,194,2694.678683136039,3,2,2161.0284695868604,3,1,1,1,0,0
3876,102,1376.6394127776584,1,4,1773.2995514961183,2,1,1,0,0,0
4600,55,1222.3829136386682,1,1,1090.8186581037687,2,0,0,0,0,0
5075,110,2813.642519715502,2,3,2432.499556198407,2,1,1,0,0,0
1580,90,1603.6327285909183,1,7,2161.0284695868604,2,0,1,0,1,0
5067,82,2633.666621779537,2,1,2432.499556198407,2,1,1,0,1,0
161,160,2565.4046762527896,2,2,1924.735143390946,4,0,1,0,0,0
2944,90,1072.0970473494451,2,3,1557.649671927716,2,1,1,1,1,0
7475,180,1822.6305171996403,2,3,1848.1300723995475,2,1,1,0,0,0
2196,65,1603.6327285909183,2,0,2161.0284695868604,1,1,0,0,0,0
7122,50,1969.5944151832307,1,1,1848.1300723995475,1,1,0,0,0,0
2372,54,1313.6595473494451,1,0,1301.7464633309805,1,1,1,1,0,0
3873,80,1184.3758531480348,2,3,1773.2995514961183,3,1,1,0,0,1
6917,125,1971.3293388921502,3,3,1848.1300723995475,3,1,0,0,0,0
6020,62,968.3881893977805,1,6,850.803111720161,3,0,0,0,0,0
7378,50,1822.6305171996403,1,6,1848.1300723995475,2,1,1,0,1,0
899,140,2429.8684325082836,3,1,1640.7201765841617,3,1,0,1,0,0
4978,59,1053.1316545546729,1,2,1028.447379222096,3,1,1,0,0,1
5006,123,1149.6052975248515,2,1,1028.447379222096,3,1,1,1,1,0
5453,260,2821.352634017893,4,2,2432.499556198407,6,1,1,0,0,0
3731,34,1860.2384333859775,1,6,1773.2995514961183,0,0,0,0,1,0
383,136,2247.0750811056214,2,1,1924.735143390946,3,1,0,1,0,0
1505,54,2014.3944721711568,1,4,1919.137486048757,2,1,1,0,0,0
5497,127,2813.642519715502,2,4,2432.499556198407,2,1,1,0,0,0
1875,20,1955.442642756042,1,4,2161.0284695868604,0,1,0,0,1,0
4762,65,986.5219424257789,1,2,943.1819623208775,1,0,1,0,1,0
6723,60,1969.5944151832307,1,3,1848.1300723995475,0,1,1,0,1,0
1916,45,2326.721192006667,1,5,2161.0284695868604,0,1,1,0,0,1
7328,52,1969.5944151832307,1,0,1848.1300723995475,1,1,0,0,0,0
881,130,1477.2405075770378,2,7,1640.7201765841617,4,1,1,0,0,0
2840,75,1734.2144629054412,2,3,1557.649671927716,2,1,1,0,0,0
1247,38,2014.3944721711568,1,2,1919.137486048757,1,1,1,0,0,0
186,75,1310.5436387571938,1,11,1924.735143390946,2,1,1,0,0,0
7569,100,1605.973354087283,2,3,1848.1300723995475,2,1,1,0,0,1
648,42,1310.5436387571938,1,2,1924.735143390946,1,0,1,0,1,0
2203,51,1603.6327285909183,1,0,2161.0284695868604,1,1,0,0,0,0
6737,80,1643.224517225123,2,2,1848.1300723995475,2,0,1,1,0,0
89,85,1310.5436387571938,2,1,1924.735143390946,1,1,1,1,0,0
854,205,1477.2405075770378,3,4,1640.7201765841617,4,1,1,1,1,0
1077,150,1785.2131654554673,2,8,1640.7201765841617,4,1,0,0,0,1
5707,135,2633.666621779537,2,3,2432.499556198407,2,1,1,0,0,1
314,136,2041.757763015157,2,0,1924.735143390946,3,1,1,0,0,0
6204,62,1479.014960744849,1,2,1629.642194242578,1,0,0,1,0,0
1546,70,1603.6327285909183,1,6,2161.0284695868604,3,1,1,0,0,1
296,65,2565.4046762527896,1,2,1924.735143390946,2,0,0,0,0,0
2134,35,2694.678683136039,1,0,2161.0284695868604,1,0,0,0,1,0
4091,100,958.0746586280278,1,3,1233.6969424440695,3,0,1,0,1,1
4785,75,931.5329136386683,1,5,943.1819623208775,2,0,0,0,1,0
6194,116,2427.254165072983,2,2,1629.642194242578,3,1,1,1,0,0
5922,52,2223.5609729977564,1,1,2432.499556198407,2,1,0,0,0,1
1911,200,2326.721192006667,4,6,2161.0284695868604,4,1,1,1,0,0
1334,140,2014.3944721711568,3,2,1919.137486048757,3,1,1,1,0,0
5334,85,1435.4708320168122,1,4,2432.499556198407,1,1,1,0,1,0
5371,83,2633.666621779537,2,7,2432.499556198407,2,1,0,0,0,1
3163,89,1933.6920478837662,1,14,1557.649671927716,2,1,1,0,0,1
4949,95,995.0274280322236,2,1,889.030233659284,4,1,1,1,1,0
4277,60,1103.26103439928,1,6,1233.6969424440695,2,0,1,0,0,0
2430,76,1307.0803150478166,1,3,1301.7464633309805,2,0,0,1,0,0
2112,35,1888.2529309772844,1,6,2161.0284695868604,1,1,1,0,0,0
4708,47,1042.5365707096314,1,1,943.1819623208775,1,0,0,1,0,0
2778,140,1933.6920478837662,3,3,1557.649671927716,2,1,1,0,0,1
3822,72,1860.2384333859775,1,4,1773.2995514961183,0,1,1,0,0,0
7120,45,1971.3293388921502,1,8,1848.1300723995475,1,1,0,0,0,0
2420,65,1363.5830710241676,1,6,1301.7464633309805,1,1,1,0,1,0
4030,55,1595.4214451878436,1,3,1233.6969424440695,1,1,1,1,0,0
3732,124,1184.3758531480348,2,5,1773.2995514961183,3,0,1,0,0,0
107,120,1377.8023914145683,2,20,1924.735143390946,2,1,0,0,0,0
4574,57,895.4715227311139,1,3,1090.8186581037687,3,0,1,0,0,0
777,86,1126.2792991217214,1,4,1640.7201765841617,3,0,1,0,1,1
7225,270,1971.3293388921502,3,3,1848.1300723995475,4,1,1,1,0,0
506,90,2565.4046762527896,2,5,1924.735143390946,2,1,1,0,0,0
7599,65,2210.5592126265187,2,2,1848.1300723995475,2,1,1,0,0,1
7583,121,1969.5944151832307,2,2,1848.1300723995475,2,1,1,1,1,0
5514,80,2821.352634017893,1,1,2432.499556198407,2,0,0,0,0,0
1212,110,1399.6849520214823,2,6,1919.137486048757,3,1,0,0,0,0
6566,95,1643.224517225123,2,0,1848.1300723995475,3,0,1,0,0,0
5055,85,2633.666621779537,2,2,2432.499556198407,1,1,1,0,0,0
1510,81,2014.3944721711568,1,0,1919.137486048757,3,0,1,0,0,0
2537,121,1313.6595473494451,2,2,1301.7464633309805,3,1,1,1,1,0
4565,56,895.4715227311139,1,4,1090.8186581037687,3,0,0,0,0,0
421,92,2041.757763015157,1,2,1924.735143390946,3,0,1,0,0,0
2307,110,961.4483322322429,2,1,948.176640496566,3,0,1,1,0,0
992,101,1445.3545932406842,2,7,1640.7201765841617,2,1,1,1,1,0
3733,255,1789.5492272735808,3,2,1773.2995514961183,3,1,1,1,0,0
2176,190,2694.678683136039,3,5,2161.0284695868604,3,1,1,0,0,0
3783,80,1860.2384333859775,1,1,1773.2995514961183,1,1,1,0,0,0
7273,56,1969.5944151832307,1,1,1848.1300723995475,1,0,1,0,0,0
700,90,1126.2792991217214,1,4,1640.7201765841617,3,0,1,0,1,0
229,68,2565.4046762527896,1,0,1924.735143390946,1,1,1,0,0,0
2065,40,1603.6327285909183,1,0,2161.0284695868604,1,0,1,0,0,0
6629,80,2210.5592126265187,2,1,1848.1300723995475,2,1,1,1,0,0
5289,75,2813.642519715502,1,3,2432.499556198407,2,1,1,0,1,1
2326,89,961.4483322322429,2,4,948.176640496566,2,1,1,0,0,0
2768,58,1933.6920478837662,1,0,1557.649671927716,1,0,0,0,0,0
1746,125,1603.6327285909183,2,5,2161.0284695868604,3,1,1,0,0,0
4307,69,1098.8428903756871,1,3,1233.6969424440695,3,0,0,0,0,0
5240,132,2813.642519715502,2,5,2432.499556198407,3,1,1,0,0,0
5184,56,2633.666621779537,1,1,2432.499556198407,2,0,0,0,0,0
2256,98,961.4483322322429,2,2,948.176640496566,3,1,1,1,1,0
814,90,2433.643388716323,2,2,1640.7201765841617,3,0,1,1,1,0
2558,55,1313.6595473494451,1,2,1301.7464633309805,1,1,1,1,0,0
5599,106,2633.666621779537,2,1,2432.499556198407,3,1,0,0,0,0
6134,73,1397.141159781011,1,6,1629.642194242578,2,1,1,1,0,0
4739,98,885.9715227311139,2,1,943.1819623208775,2,1,1,1,0,0
1566,57,1888.2529309772844,1,8,2161.0284695868604,1,1,1,0,0,0
3558,100,1789.5492272735808,2,1,1773.2995514961183,2,1,1,0,0,0
3330,50,1015.3455235698771,1,3,1065.5090123520292,0,0,1,0,1,0
3244,98,1015.3455235698771,2,3,1065.5090123520292,2,1,1,0,0,0
6627,69,1643.224517225123,1,0,1848.1300723995475,1,1,0,0,0,0
4514,26,1107.9035171727414,1,1,1005.9320210441978,0,1,1,0,0,0
546,170,2565.4046762527896,3,4,1924.735143390946,3,1,1,1,0,1
5389,123,2633.666621779537,2,4,2432.499556198407,2,0,1,0,0,0
3793,30,2360.8286019668476,1,2,1773.2995514961183,0,1,1,1,1,0
4556,65,895.4715227311139,1,3,1090.8186581037687,3,0,1,0,0,0
7316,23,1822.6305171996403,1,0,1848.1300723995475,1,1,0,0,0,0
7602,52,1643.224517225123,1,0,1848.1300723995475,1,0,0,0,0,0
4587,35,1224.281405597951,1,0,1090.8186581037687,1,1,0,0,0,0
1484,91,2014.3944721711568,2,5,1919.137486048757,2,1,1,0,0,0
597,100,1310.5436387571938,2,9,1924.735143390946,2,1,1,0,0,0
377,87,1377.8023914145683,1,6,1924.735143390946,1,1,1,0,1,0
4254,80,1533.8078264476776,2,1,1233.6969424440695,2,1,1,1,0,0
6748,50,2210.5592126265187,2,1,1848.1300723995475,2,1,0,0,0,0
5095,32,1618.0971522731115,1,1,2432.499556198407,0,1,0,0,0,0
5283,85,2813.642519715502,2,6,2432.499556198407,2,1,1,0,0,0
3521,60,1184.3758531480348,1,1,1773.2995514961183,2,0,1,0,1,0
794,388,1785.2131654554673,5,4,1640.7201765841617,6,1,1,1,0,1
7443,25,1605.973354087283,1,5,1848.1300723995475,0,1,1,0,1,0
7338,86,1643.224517225123,1,5,1848.1300723995475,1,1,1,0,0,0
7296,42,1643.224517225123,1,6,1848.1300723995475,1,1,1,0,0,0
5107,65,1618.0971522731115,1,3,2432.499556198407,2,0,1,0,0,0
225,211,2247.0750811056214,3,4,1924.735143390946,4,1,1,1,0,0
5187,60,2633.666621779537,1,1,2432.499556198407,2,0,1,0,0,0
5662,118,2633.666621779537,2,2,2432.499556198407,3,1,0,0,0,0
3610,145,1895.5738409103712,3,7,1773.2995514961183,4,1,1,0,0,0
4735,31,885.9715227311139,1,1,943.1819623208775,0,0,1,0,0,0
7458,107,1605.973354087283,2,6,1848.1300723995475,2,1,1,0,0,1
3671,350,1895.5738409103712,5,4,1773.2995514961183,5,1,1,1,1,1
1547,170,1888.2529309772844,2,6,2161.0284695868604,3,1,1,0,0,0
2357,90,1313.6595473494451,1,6,1301.7464633309805,1,1,1,1,0,0
758,105,1067.440589444302,2,14,1640.7201765841617,2,1,0,1,0,0
7690,98,1822.6305171996403,1,6,1848.1300723995475,2,1,1,0,0,0
53,70,1377.8023914145683,1,9,1924.735143390946,1,1,1,0,1,0
6115,113,2458.5696217023665,2,3,1629.642194242578,2,1,1,1,0,0
929,96,1586.7357613655568,2,4,1640.7201765841617,2,1,1,1,0,0
6852,112,2210.5592126265187,2,4,1848.1300723995475,2,1,1,0,0,0
3036,180,1933.6920478837662,3,3,1557.649671927716,3,1,1,0,0,0
5396,65,1618.0971522731115,1,2,2432.499556198407,2,1,1,0,0,1
7061,45,1605.973354087283,1,5,1848.1300723995475,2,1,0,0,0,0
545,94,2247.0750811056214,1,5,1924.735143390946,1,1,1,0,0,0
3094,214,1933.6920478837662,3,7,1557.649671927716,4,1,1,0,0,1
3493,160,1860.2384333859775,2,9,1773.2995514961183,3,1,1,1,1,0
150,95,2247.0750811056214,3,11,1924.735143390946,3,1,1,0,0,0
3496,118,2360.8286019668476,3,2,1773.2995514961183,2,1,0,1,0,0
3624,45,1860.2384333859775,1,5,1773.2995514961183,1,1,0,0,0,0
3970,55,1020.8881893977805,1,2,927.243038503216,2,0,0,0,1,0
4099,73,1093.6745920188625,1,2,1233.6969424440695,2,1,1,0,1,0
487,89,2247.0750811056214,1,4,1924.735143390946,3,1,0,0,1,0
6835,40,1643.224517225123,1,2,1848.1300723995475,1,1,1,0,1,1
1294,32,1399.6849520214823,1,0,1919.137486048757,0,1,0,1,1,0
625,69,2565.4046762527896,1,1,1924.735143390946,1,1,1,0,0,0
6015,73,917.7587929318537,1,2,850.803111720161,3,1,0,0,0,1
473,140,1377.8023914145683,2,2,1924.735143390946,4,0,0,1,0,0
4377,40,1103.26103439928,1,1,1233.6969424440695,1,0,1,0,0,0
7123,70,1969.5944151832307,2,1,1848.1300723995475,2,1,0,0,0,0
4238,70,958.0746586280278,1,4,1233.6969424440695,2,0,0,0,0,0
326,170,1310.5436387571938,2,7,1924.735143390946,3,1,1,0,0,0
3689,274,1895.5738409103712,4,1,1773.2995514961183,4,0,0,0,0,0
6209,65,1479.014960744849,1,2,1629.642194242578,1,1,1,1,0,0
4723,50,931.5329136386683,2,2,943.1819623208775,1,1,0,0,0,0
5267,107,1618.0971522731115,2,2,2432.499556198407,3,1,0,0,0,0
474,48,1377.8023914145683,1,0,1924.735143390946,1,0,0,0,0,0
6324,121,1389.833228409667,2,0,1629.642194242578,3,1,1,1,0,0
932,120,1445.3545932406842,2,1,1640.7201765841617,3,0,1,1,1,0
2901,80,1734.2144629054412,1,5,1557.649671927716,1,1,1,1,0,1
690,150,1445.3545932406842,2,4,1640.7201765841617,3,1,1,1,0,0
1583,65,1850.3131654554672,1,6,2161.0284695868604,1,1,1,0,1,0
4158,90,1533.8078264476776,1,3,1233.6969424440695,3,0,0,1,1,0
7308,100,1643.224517225123,1,6,1848.1300723995475,2,1,1,0,0,0
1045,55,1126.2792991217214,1,4,1640.7201765841617,1,0,0,0,1,0
408,85,2041.757763015157,2,1,1924.735143390946,2,1,0,0,0,0
2450,30,1307.0803150478166,1,1,1301.7464633309805,0,0,0,1,0,0
1550,60,1603.6327285909183,1,0,2161.0284695868604,2,0,1,0,0,0
2353,74,1303.80848653284,2,1,1301.7464633309805,3,0,0,0,0,1
7030,80,2210.5592126265187,2,6,1848.1300723995475,2,1,1,0,0,0
7040,40,1605.973354087283,1,0,1848.1300723995475,1,0,0,0,0,0
7380,120,1605.973354087283,2,1,1848.1300723995475,3,1,1,1,0,1
6439,110,1389.833228409667,2,4,1629.642194242578,3,1,0,1,0,0
6608,64,1643.224517225123,1,2,1848.1300723995475,2,1,0,0,0,0
3125,85,1933.6920478837662,1,8,1557.649671927716,2,0,0,0,0,0
2913,62,1072.0970473494451,2,2,1557.649671927716,2,0,1,0,1,0
2024,83,1955.442642756042,1,0,2161.0284695868604,2,1,1,0,0,0
793,205,1477.2405075770378,3,4,1640.7201765841617,4,1,1,1,0,0
733,101,1445.3545932406842,2,1,1640.7201765841617,2,1,1,1,0,0
6854,106,2210.5592126265187,3,1,1848.1300723995475,3,1,1,0,0,1
1356,95,2604.162396896911,2,4,1919.137486048757,2,1,1,1,0,0
6904,48,1605.973354087283,1,2,1848.1300723995475,1,0,1,1,0,0
3016,190,1933.6920478837662,3,7,1557.649671927716,4,1,1,0,0,0
6554,47,1971.3293388921502,1,1,1848.1300723995475,2,0,0,0,0,0
5580,121,2633.666621779537,2,4,2432.499556198407,3,1,1,0,0,0
2008,135,2326.721192006667,3,4,2161.0284695868604,4,0,0,0,0,0
5383,120,2813.642519715502,2,6,2432.499556198407,2,1,1,0,0,0
5426,55,1618.0971522731115,1,2,2432.499556198407,2,1,1,0,0,1
385,210,2247.0750811056214,5,2,1924.735143390946,4,1,1,1,1,0
2039,40,2694.678683136039,1,0,2161.0284695868604,0,1,1,0,0,0
1206,132,2014.3944721711568,1,0,1919.137486048757,0,1,1,0,1,1
7492,130,1971.3293388921502,3,2,1848.1300723995475,3,1,1,0,0,1
4965,87,875.5219424257789,2,3,889.030233659284,2,1,1,0,0,0
6796,58,1971.3293388921502,1,2,1848.1300723995475,1,1,1,0,0,0
3166,35,1366.9210595049701,1,2,1557.649671927716,1,1,1,0,0,0
7689,50,1643.224517225123,1,4,1848.1300723995475,1,0,0,0,0,0
202,50,1377.8023914145683,1,4,1924.735143390946,1,1,1,0,1,1
4979,73,1018.8322840966706,1,2,1028.447379222096,2,1,1,0,0,0
4966,56,980.4599177511127,1,0,889.030233659284,0,1,0,0,0,0
185,150,2247.0750811056214,1,0,1924.735143390946,1,1,0,0,0,0
2004,225,1888.2529309772844,3,9,2161.0284695868604,4,0,0,0,0,0
1151,56,1399.6849520214823,1,2,1919.137486048757,2,0,1,1,0,1
5188,74,2813.642519715502,2,2,2432.499556198407,2,1,1,0,0,0
3406,137,1160.4348859792096,2,1,1065.5090123520292,3,1,1,1,0,0
2406,65,1331.2705710241676,1,1,1301.7464633309805,1,1,1,1,0,0
6822,28,1971.3293388921502,1,3,1848.1300723995475,0,1,0,0,0,0
7595,116,2210.5592126265187,2,5,1848.1300723995475,2,1,0,0,0,0
