,type,price,deposit,private_owner,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7497,Flat,1850,1.0,False,59,58.0,59,2006.0,,2,2,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Lavapiés-Embajadores,28005.0,6 November,,,
7498,Studio,1360,1.0,True,48,39.0,4th,,north,0,1,True,True,False,True,True,True,True,False,True,True,False,False,Centro,Chueca-Justicia,28004.0,3 November,10,40.4221657,-3.6988693
7499,Flat,2250,1.0,False,56,55.0,4th,1992.0,,1,1,True,True,False,True,True,False,True,True,True,False,False,False,Centro,Chueca-Justicia,28004.0,4 November,,,
7500,Flat,2700,,False,150,140.0,4th,1890.0,,2,2,True,True,True,True,True,True,False,False,True,False,False,False,Centro,Palacio,28013.0,1 November,El Anciano Rey de los Vinos,40.4154499,-3.7132643
7501,Studio,750,1.0,False,23,,8th,1973.0,,0,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,nan,29 October,Calle de la Princesa,40.4259215,-3.7128138
7502,Flat,1100,,False,70,65.0,5th,,,2,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,2 November,Calle de Santa Teresa,40.4258923,-3.6959231
7503,Flat,1950,1.0,False,54,53.0,3rd,1992.0,,1,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,1 November,,,
7504,Flat,2040,1.0,False,45,44.0,4th,1992.0,,1,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,4 November,,,
7505,Flat,1400,2.0,False,100,,1st,1957.0,west,2,2,True,True,False,True,True,False,False,False,False,False,False,False,Centro,Palacio,28013.0,7 November,,,
7506,Flat,2650,1.0,False,69,68.0,1st,2022.0,,1,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,7 November,,,
